animation_id,lod_index,frame_index,time,frame_id
anim_1,0,0,0.0,frame_1
anim_1,0,1,0.049999999999999996,frame_2
anim_1,0,2,0.09999999999999999,frame_3
anim_1,0,3,0.15,frame_4
anim_1,0,4,0.19999999999999998,frame_5
anim_1,0,5,0.24999999999999997,frame_6
anim_1,0,6,0.3,frame_7
anim_1,0,7,0.35,frame_8
anim_1,0,8,0.39999999999999997,frame_9
anim_1,0,9,0.44999999999999996,frame_10
anim_1,0,10,0.49999999999999994,frame_11
anim_1,0,11,0.5499999999999999,frame_12
anim_1,0,12,0.6,frame_13
anim_1,0,13,0.6499999999999999,frame_14
anim_1,0,14,0.7,frame_15
anim_1,0,15,0.7499999999999999,frame_16
anim_1,0,16,0.7999999999999999,frame_17
anim_1,0,17,0.85,frame_18
anim_1,0,18,0.8999999999999999,frame_19
anim_1,0,19,0.95,frame_20
