animation_id,effector_index,frame_id,curvature
anim_1,1,frame_1,0.0
anim_1,1,frame_2,1.451330752078886
anim_1,1,frame_3,2.2945020001327783
anim_1,1,frame_4,3.647484233059409
anim_1,1,frame_5,5.882445967301594
anim_1,1,frame_6,7.871859262566883
anim_1,1,frame_7,6.482187889224865
anim_1,1,frame_8,3.228587971780411
anim_1,1,frame_9,1.100167716091767
anim_1,1,frame_10,0.08258260384670266
anim_1,1,frame_11,-0.4085635575102879
anim_1,1,frame_12,-0.7091686027054351
anim_1,1,frame_13,-1.013835621651119
anim_1,1,frame_14,-1.5259195589456584
anim_1,1,frame_15,-2.625864547300082
anim_1,1,frame_16,-5.016886834249707
anim_1,1,frame_17,-8.413849568063938
anim_1,1,frame_18,-7.887232147851012
anim_1,1,frame_19,-3.574986976123713
anim_1,1,frame_20,0.0
anim_1,2,frame_1,0.0
anim_1,2,frame_2,0.6518194272476966
anim_1,2,frame_3,0.7566826583441724
anim_1,2,frame_4,1.1625118709140951
anim_1,2,frame_5,3.0739413909680886
anim_1,2,frame_6,14.830146038503146
anim_1,2,frame_7,14.119076564075009
anim_1,2,frame_8,1.7015396870461599
anim_1,2,frame_9,-0.06569757316225293
anim_1,2,frame_10,-0.38444074402197576
anim_1,2,frame_11,-0.4500495272533603
anim_1,2,frame_12,-0.464588749265633
anim_1,2,frame_13,-0.4961966060752673
anim_1,2,frame_14,-0.6450827225500343
anim_1,2,frame_15,-1.3615904636869829
anim_1,2,frame_16,-6.442501860196698
anim_1,2,frame_17,-34.57584475317684
anim_1,2,frame_18,-4.386326103122423
anim_1,2,frame_19,0.017290075747303763
anim_1,2,frame_20,0.0
anim_1,3,frame_1,0.0
anim_1,3,frame_2,0.38653998457399985
anim_1,3,frame_3,0.3727238489779714
anim_1,3,frame_4,0.43921692247494
anim_1,3,frame_5,1.010664680231171
anim_1,3,frame_6,10.499873777263613
anim_1,3,frame_7,14.15845430509619
anim_1,3,frame_8,0.1994165867322053
anim_1,3,frame_9,-0.3564870180449484
anim_1,3,frame_10,-0.38607969154906113
anim_1,3,frame_11,-0.35865154768871893
anim_1,3,frame_12,-0.32552335584003234
anim_1,3,frame_13,-0.29971274278362686
anim_1,3,frame_14,-0.30847448132475247
anim_1,3,frame_15,-0.538276327169579
anim_1,3,frame_16,-4.222814725900415
anim_1,3,frame_17,-48.40253366637701
anim_1,3,frame_18,-0.17156355623436892
anim_1,3,frame_19,0.4774697528826032
anim_1,3,frame_20,0.0
